ano,cob_vac_bcg,cob_vac_rota,cob_vac_menin,cob_vac_pneumo,cob_vac_polio,cob_vac_tvd1,cob_vac_penta,cob_vac_hepb,cob_vac_hepa
2014,"100,0","93,4432793208522","96,357144062087","93,4454826472554","96,7619020077468","100,0","94,8475900601061","88,5370566795389","60,1278480145447"
2015,"100,0","95,3499623196226","98,1877926604069","94,2255467789738","98,2948207830282","96,0669749324699","96,2959517112267","90,931554723038","97,0684769787884"
2016,"95,550507000167","88,9781681336931","91,6769390433973","94,9970585557391","84,4326204320681","95,405131451145","89,2681464936674","81,745608579946","71,579466535234"
2017,"97,9789221523078","85,1172614325655","87,4438086252563","92,1493186139567","84,7433298624796","86,2448016993407","84,2392328774856","85,8791492555179","78,9353786170546"
2018,"99,7161640061203","91,3284716541212","88,4879566763377","95,2522076379631","89,5435124960805","92,6085775997225","88,4850374610893","88,3999770121709","82,6875638292468"
2019,"86,6714208281549","85,3975503524785","87,4121283788522","89,0735609167416","84,1871616358941","93,1182808204441","70,7572001624114","78,5712306048339","85,0205630967069"
2020,"77,1408618125752","77,9385083334816","79,2268426145765","82,0371774119617","76,7910151132347","80,88","77,86","65,7731029774577","75,896008514403"
2021,"74,962833750115","71,7973630008607","72,1664089137804","74,8404701164902","71,0350068356958","74,9428720861254","71,5236318517101","67,0273237901981","67,5357025352303"
2022,"90,0635408179415","76,6042070668701","78,6294091962713","81,5110597960863","77,2034426651057","80,7040569557703","77,2393770206207","82,73051485462","72,9869162932966"
2023,"78,1999742677558","84,5985809377745","82,8198198269309","87,1432315120535","84,9538200937254","86,9542258107038","84,0305377012897","74,1922561731733","80,8601831409598"
