item_type,year_month,price
Butter,2013-02-01,1.52
Butter,2013-03-01,1.55
Butter,2013-04-01,1.5
Butter,2013-05-01,1.5
Butter,2013-06-01,1.5
Butter,2013-07-01,1.5
Butter,2013-08-01,1.55
Butter,2013-09-01,1.58
Butter,2013-10-01,1.58
Butter,2013-11-01,1.58
Butter,2013-12-01,1.6
Butter,2014-01-01,1.6
Butter,2014-02-01,1.6
Butter,2014-03-01,1.6
Butter,2014-04-01,1.6
Butter,2014-05-01,1.6
Butter,2014-06-01,1.6
Butter,2014-07-01,1.6
Butter,2014-08-01,1.6
Butter,2014-09-01,1.6
Butter,2014-10-01,1.6
Butter,2014-11-01,1.6
Butter,2014-12-01,1.6
Butter,2015-01-01,1.6
Butter,2015-02-01,1.6
Butter,2015-03-01,1.6
Butter,2015-04-01,1.6
Butter,2015-05-01,1.58
Butter,2015-06-01,1.6
Butter,2015-07-01,1.6
Butter,2015-08-01,1.6
Butter,2015-09-01,1.6
Butter,2015-10-01,1.6
Butter,2015-11-01,1.6
Butter,2015-12-01,1.6
Butter,2016-01-01,1.58
Butter,2016-02-01,1.3
Butter,2016-03-01,1.3
Butter,2016-04-01,1.5
Butter,2016-05-01,1.5
Butter,2016-06-01,1.5
Butter,2016-07-01,1.495
Butter,2016-08-01,1.2
Butter,2016-09-01,1.3
Butter,2016-10-01,1.5
Butter,2016-11-01,1.5
Butter,2016-12-01,1.5
Butter,2017-01-01,1.5
Butter,2017-02-01,1.5
Butter,2017-03-01,1.5
Butter,2017-04-01,1.5
Butter,2017-05-01,1.5
Butter,2017-06-01,1.5
Butter,2017-07-01,1.5
Butter,2017-08-01,1.6
Butter,2017-09-01,1.75
Butter,2017-10-01,1.8
Butter,2017-11-01,1.8
Butter,2017-12-01,1.8
Butter,2018-01-01,1.8
Butter,2018-02-01,1.8
Butter,2018-03-01,1.8
Butter,2018-04-01,1.8
Butter,2018-05-01,1.8
Butter,2018-06-01,1.8
Butter,2018-07-01,1.8
Butter,2018-08-01,1.8
Butter,2018-09-01,1.8
Butter,2018-10-01,1.8
Butter,2018-11-01,1.8
Butter,2018-12-01,1.8
Butter,2019-01-01,1.8
Butter,2019-02-01,1.8
Butter,2019-03-01,1.8
Butter,2019-04-01,1.8
Butter,2019-05-01,1.8
Butter,2019-06-01,1.8
Butter,2019-07-01,1.8
Butter,2019-08-01,1.79
Butter,2019-09-01,1.8
Butter,2019-10-01,1.8
Butter,2019-11-01,1.8
Butter,2019-12-01,1.8
Butter,2020-01-01,1.8
Butter,2020-02-01,1.8
Butter,2020-03-01,1.8
Butter,2020-04-01,1.8250000000000002
Butter,2020-05-01,1.8
Butter,2020-06-01,1.8
Butter,2020-07-01,1.8
Butter,2020-08-01,1.8
Butter,2020-09-01,1.7
Butter,2020-10-01,1.7
Butter,2020-11-01,1.7
Butter,2020-12-01,1.7
Butter,2021-01-01,1.7
Butter,2021-02-01,1.75
Butter,2021-03-01,1.7
Butter,2021-04-01,1.7
Butter,2021-05-01,1.8
Butter,2021-06-01,1.7
Butter,2021-07-01,1.7
Butter,2021-08-01,1.75
Butter,2021-09-01,1.75
Butter,2021-10-01,1.7
Butter,2021-11-01,1.8
Butter,2021-12-01,1.75
Butter,2022-01-01,1.85
Butter,2022-02-01,1.95
Butter,2022-03-01,1.95
Butter,2022-04-01,1.95
Butter,2022-05-01,1.95
Butter,2022-06-01,2.0
Butter,2022-07-01,2.25
Butter,2022-08-01,2.3
Butter,2022-09-01,2.25
Butter,2022-10-01,2.3
Butter,2022-11-01,2.3
Butter,2022-12-01,2.25
Butter,2023-01-01,2.4000001
Butter,2023-02-01,2.45
Butter,2023-03-01,2.4000001
Butter,2023-04-01,2.5
Butter,2023-05-01,2.225
Butter,2023-06-01,2.2
Butter,2023-07-01,2.2
Butter,2023-08-01,2.0999999
Butter,2023-09-01,2.125
Butter,2023-10-01,2.0
Butter,2023-11-01,2.0
Butter,2023-12-01,2.0
Butter,2024-01-01,2.0
Butter,2024-02-01,2.0
Butter,2024-03-01,2.0
Butter,2024-04-01,2.0
Butter,2024-05-01,2.0
Butter,2024-06-01,2.0
Butter,2024-07-01,2.0999999
Butter,2024-08-01,2.0
Butter,2024-09-01,2.0949999
Olive Oil,2007-02-01,3.99
Olive Oil,2007-03-01,3.99
Olive Oil,2007-04-01,3.99
Olive Oil,2007-05-01,3.99
Olive Oil,2007-06-01,3.9200001
Olive Oil,2007-07-01,3.9200001
Olive Oil,2007-08-01,3.62
Olive Oil,2007-09-01,3.49
Olive Oil,2007-10-01,3.49
Olive Oil,2007-11-01,3.49
Olive Oil,2007-12-01,3.4200001
Olive Oil,2008-01-01,2.99
Olive Oil,2008-02-01,3.4200001
Olive Oil,2008-03-01,3.45
