,year_month,price
0,2007-02-01,3.99
1,2007-03-01,3.99
2,2007-04-01,3.99
3,2007-05-01,3.99
4,2007-06-01,3.9200001
5,2007-07-01,3.9200001
6,2007-08-01,3.62
7,2007-09-01,3.49
8,2007-10-01,3.49
9,2007-11-01,3.49
10,2007-12-01,3.4200001
11,2008-01-01,2.99
12,2008-02-01,3.4200001
13,2008-03-01,3.45
14,2008-04-01,3.22000005
15,2008-05-01,3.22000005
16,2008-06-01,3.45
17,2008-07-01,3.4100001
18,2008-08-01,3.4300000500000003
19,2008-09-01,3.4100001
20,2008-10-01,3.4100001
21,2008-11-01,3.45
22,2008-12-01,3.45
23,2009-01-01,3.45
24,2009-02-01,3.4400001
25,2009-03-01,3.4400001
26,2009-04-01,3.4100001
27,2009-05-01,3.4300001
28,2009-06-01,3.45
29,2009-07-01,3.4000001
30,2009-08-01,3.3399999
31,2009-09-01,3.3399999
32,2009-10-01,3.3399999
33,2009-11-01,3.3499999
34,2009-12-01,3.3800001
35,2010-01-01,3.3349998999999997
36,2010-02-01,3.3099999
37,2010-03-01,3.27
38,2010-04-01,3.3800001
39,2010-05-01,3.3399999
40,2010-06-01,3.26
41,2010-07-01,3.45
42,2010-08-01,3.49
43,2010-09-01,3.48
44,2010-10-01,3.0
45,2010-11-01,3.48
46,2010-12-01,3.49
47,2011-01-01,2.8800001
48,2011-02-01,2.99
49,2011-03-01,3.24
50,2011-04-01,3.24
51,2011-05-01,2.98
52,2011-06-01,3.0
53,2011-07-01,3.1500001
54,2011-08-01,3.24
55,2011-09-01,3.24
56,2011-10-01,3.24
57,2011-11-01,3.24
58,2011-12-01,3.28
59,2012-01-01,3.0
60,2012-02-01,3.3900001
61,2012-03-01,3.29
62,2012-04-01,3.51
63,2012-05-01,3.43500005
64,2012-06-01,3.3800001
65,2012-07-01,3.3900001
66,2012-08-01,3.49
67,2012-09-01,3.1900001
68,2012-10-01,3.0
69,2012-11-01,3.3900001
70,2012-12-01,3.49
71,2013-01-01,2.98
72,2013-02-01,2.98
73,2013-03-01,2.99
74,2013-04-01,2.995
75,2013-05-01,3.29
76,2013-06-01,3.5999999
77,2013-07-01,3.5999999
78,2013-08-01,3.5999999
79,2013-09-01,3.5999999
80,2013-10-01,3.5
81,2013-11-01,3.6900001
82,2013-12-01,3.5999999
83,2014-01-01,3.0
84,2014-02-01,3.0
85,2014-03-01,3.0
86,2014-04-01,3.6900001
87,2014-05-01,3.6399999999999997
88,2014-06-01,3.3
89,2014-07-01,3.3
90,2014-08-01,3.3
91,2014-09-01,3.3
92,2014-10-01,3.24
93,2014-11-01,3.3
94,2014-12-01,3.25
95,2015-01-01,3.1900001
96,2015-02-01,2.9000001
97,2015-03-01,3.0
98,2015-04-01,3.2
99,2015-05-01,3.5
100,2015-06-01,3.5
101,2015-07-01,3.5
102,2015-08-01,3.45
103,2015-09-01,3.45
104,2015-10-01,3.7
105,2015-11-01,3.7
106,2015-12-01,3.5
107,2016-01-01,3.495
108,2016-02-01,3.37
109,2016-03-01,3.45
110,2016-04-01,3.45
111,2016-05-01,3.5
112,2016-06-01,3.45
113,2016-07-01,3.45
114,2016-08-01,3.45
115,2016-09-01,3.45
116,2016-10-01,3.5
117,2016-11-01,3.5
118,2016-12-01,3.5
119,2017-01-01,3.45
120,2017-02-01,3.54999995
121,2017-03-01,3.7
122,2017-04-01,3.7
123,2017-05-01,3.7
124,2017-06-01,3.7
125,2017-07-01,3.7
126,2017-08-01,3.7
127,2017-09-01,3.54999995
128,2017-10-01,3.75
129,2017-11-01,3.725
130,2017-12-01,3.75
131,2018-01-01,3.6499999499999998
132,2018-02-01,3.5999999
133,2018-03-01,3.95
134,2018-04-01,3.5
135,2018-05-01,3.5
136,2018-06-01,3.5
137,2018-07-01,3.5
138,2018-08-01,3.5
139,2018-09-01,3.5
140,2018-10-01,3.5
141,2018-11-01,3.5
142,2018-12-01,3.5
143,2019-01-01,3.5999999
144,2019-02-01,3.5999999
145,2019-03-01,3.5999999
146,2019-04-01,3.5999999
147,2019-05-01,3.5999999
148,2019-06-01,3.5999999
149,2019-07-01,3.5999999
150,2019-08-01,3.4000001
151,2019-09-01,3.4000001
152,2019-10-01,3.4000001
153,2019-11-01,3.4000001
154,2019-12-01,3.4000001
155,2020-01-01,3.5
156,2020-02-01,3.75
157,2020-03-01,3.0
158,2020-04-01,3.75
159,2020-05-01,4.25
160,2020-06-01,4.25
161,2020-07-01,3.75
162,2020-08-01,3.5999999
163,2020-09-01,3.75
164,2020-10-01,3.4000001
165,2020-11-01,4.25
166,2020-12-01,3.5
167,2021-01-01,3.4000001
168,2021-02-01,3.45000005
169,2021-03-01,3.4000001
170,2021-04-01,3.5
171,2021-05-01,3.4000001
172,2021-06-01,3.4000001
173,2021-07-01,3.4000001
174,2021-08-01,3.4000001
175,2021-09-01,3.25
176,2021-10-01,3.4000001
177,2021-11-01,3.4000001
178,2021-12-01,3.4000001
179,2022-01-01,3.29
180,2022-02-01,3.48
181,2022-03-01,3.45
182,2022-04-01,3.77
183,2022-05-01,3.8
184,2022-06-01,3.95
185,2022-07-01,4.5
186,2022-08-01,4.5
187,2022-09-01,4.3000002
188,2022-10-01,4.5
189,2022-11-01,4.25
190,2022-12-01,4.3000002
191,2023-01-01,5.0999999
192,2023-02-01,5.1500001
193,2023-03-01,5.1500001
194,2023-04-01,5.9499998
195,2023-05-01,5.8499999
196,2023-06-01,5.875
197,2023-07-01,5.9499998
198,2023-08-01,5.8499999
199,2023-09-01,6.8499999
200,2023-10-01,6.0
201,2023-11-01,6.8499999
202,2023-12-01,6.8499999
203,2024-01-01,6.8499999
204,2024-02-01,6.5
205,2024-03-01,7.125
206,2024-04-01,7.8000002
207,2024-05-01,7.0
208,2024-06-01,7.8000002
209,2024-07-01,7.4899998
210,2024-08-01,7.8000002
211,2024-09-01,7.8000002
