CD_UF,NAME_UF,Expense_Type,Value,Group
11,Rondônia,Collection of material,51875.92,Diagnostic Procedures
12,Acre,Collection of material,23075.46,Diagnostic Procedures
13,Amazonas,Collection of material,48060.56,Diagnostic Procedures
14,Roraima,Collection of material,7559.06,Diagnostic Procedures
15,Pará,Collection of material,101717.37,Diagnostic Procedures
16,Amapá,Collection of material,1188.13,Diagnostic Procedures
17,Tocantins,Collection of material,15016.24,Diagnostic Procedures
21,Maranhão,Collection of material,82763.67,Diagnostic Procedures
22,Piauí,Collection of material,82649.16,Diagnostic Procedures
23,Ceará,Collection of material,78951.69,Diagnostic Procedures
24,Rio Grande do Norte,Collection of material,47091.11,Diagnostic Procedures
25,Paraíba,Collection of material,39693.09,Diagnostic Procedures
26,Pernambuco,Collection of material,303693.15,Diagnostic Procedures
27,Alagoas,Collection of material,26017.96,Diagnostic Procedures
28,Sergipe,Collection of material,29010.94,Diagnostic Procedures
29,Bahia,Collection of material,219751.92,Diagnostic Procedures
31,Minas Gerais,Collection of material,1200029.15,Diagnostic Procedures
32,Espírito Santo,Collection of material,288228.16,Diagnostic Procedures
33,Rio de Janeiro,Collection of material,446878.48,Diagnostic Procedures
35,São Paulo,Collection of material,2214694.47,Diagnostic Procedures
41,Paraná,Collection of material,1331249.34,Diagnostic Procedures
42,Santa Catarina,Collection of material,373651.94,Diagnostic Procedures
43,Rio Grande do Sul,Collection of material,516914.23,Diagnostic Procedures
50,Mato Grosso do Sul,Collection of material,113457.47,Diagnostic Procedures
51,Mato Grosso,Collection of material,46103.24,Diagnostic Procedures
52,Goiás,Collection of material,63784.33,Diagnostic Procedures
53,Distrito Federal,Collection of material,329166.78,Diagnostic Procedures
-,Brazil (total),Collection of material,8082273.02,Diagnostic Procedures
11,Rondônia,Diagnosis by endoscopy,14813.26,Diagnostic Procedures
12,Acre,Diagnosis by endoscopy,0.0,Diagnostic Procedures
13,Amazonas,Diagnosis by endoscopy,109539.29,Diagnostic Procedures
14,Roraima,Diagnosis by endoscopy,470.59,Diagnostic Procedures
15,Pará,Diagnosis by endoscopy,149098.09,Diagnostic Procedures
16,Amapá,Diagnosis by endoscopy,0.0,Diagnostic Procedures
17,Tocantins,Diagnosis by endoscopy,6511.81,Diagnostic Procedures
21,Maranhão,Diagnosis by endoscopy,34679.41,Diagnostic Procedures
22,Piauí,Diagnosis by endoscopy,25612.4,Diagnostic Procedures
23,Ceará,Diagnosis by endoscopy,6099.3,Diagnostic Procedures
24,Rio Grande do Norte,Diagnosis by endoscopy,313745.46,Diagnostic Procedures
25,Paraíba,Diagnosis by endoscopy,4276.19,Diagnostic Procedures
26,Pernambuco,Diagnosis by endoscopy,852471.66,Diagnostic Procedures
27,Alagoas,Diagnosis by endoscopy,83728.14,Diagnostic Procedures
28,Sergipe,Diagnosis by endoscopy,42916.19,Diagnostic Procedures
29,Bahia,Diagnosis by endoscopy,375567.08,Diagnostic Procedures
31,Minas Gerais,Diagnosis by endoscopy,3826080.81,Diagnostic Procedures
32,Espírito Santo,Diagnosis by endoscopy,188477.0,Diagnostic Procedures
33,Rio de Janeiro,Diagnosis by endoscopy,287000.28,Diagnostic Procedures
35,São Paulo,Diagnosis by endoscopy,1408976.06,Diagnostic Procedures
41,Paraná,Diagnosis by endoscopy,12769728.33,Diagnostic Procedures
42,Santa Catarina,Diagnosis by endoscopy,3437233.55,Diagnostic Procedures
43,Rio Grande do Sul,Diagnosis by endoscopy,1657543.23,Diagnostic Procedures
50,Mato Grosso do Sul,Diagnosis by endoscopy,252472.68,Diagnostic Procedures
51,Mato Grosso,Diagnosis by endoscopy,0.0,Diagnostic Procedures
52,Goiás,Diagnosis by endoscopy,14790.21,Diagnostic Procedures
53,Distrito Federal,Diagnosis by endoscopy,33180.15,Diagnostic Procedures
Total,Brazil (total),Diagnosis by endoscopy,25895011.17,Diagnostic Procedures
11,Rondônia,Diagnostic methods in specialties,0.0,Diagnostic Procedures
12,Acre,Diagnostic methods in specialties,0.0,Diagnostic Procedures
13,Amazonas,Diagnostic methods in specialties,340.0,Diagnostic Procedures
14,Roraima,Diagnostic methods in specialties,0.0,Diagnostic Procedures
15,Pará,Diagnostic methods in specialties,12750.0,Diagnostic Procedures
16,Amapá,Diagnostic methods in specialties,0.0,Diagnostic Procedures
17,Tocantins,Diagnostic methods in specialties,0.0,Diagnostic Procedures
21,Maranhão,Diagnostic methods in specialties,0.0,Diagnostic Procedures
