ano,regiao_geo,id_munic_7,codmun,capital,nomemun,id_estado,estado_abrev,estado,regiao,no_regiao,macrorregiao,no_macro,cob_ab,pct_prenatal_adeq,tx_mort_evit,tx_mort,tx_mort_inf_ibge,tx_hosp,tx_leito_sus,tx_med_ch,tx_enf_ch,desp_tot_saude_pc_mun,exp_vida,pct_san_adeq,ideb_9ano
2023,Southeast,3204302,320430,0,Presidente Kennedy,32,ES,Espírito Santo,32004, Sul,3205,Sul,100.0,82.4120603015075,197.13785046729,737.441588785047, ,9535.6308411215,0.0,1.73590829439252,2.62120327102804,8191.42,, , 
2023,Southeast,3166600,316660,0,Serra da Saudade,31,MG,Minas Gerais,31028, Bom Despacho,3105,Macrorregião Oeste,100.0,100.0,0.0,960.384153661465, ,11884.7539015606,0.0,1.35054021608643,4.83193277310924,7968.15,, , 
2023,Southeast,3118007,311800,0,Congonhas,31,MG,Minas Gerais,31078, Congonhas,3102,Macrorregião Centro-Sul,100.0,82.6086956521739,128.568727547741,661.750803554547, ,6362.26129703157,124.787294384572,3.55691056910569,2.44753261486103,7709.3,, , 
2023,Southeast,3520400,352040,0,Ilhabela,35,SP,São Paulo,35173, Litoral Norte,3526,RRAS17,100.0,89.3877551020408,94.4638461098071,601.133566153318, ,12910.0589683403,128.814335604282,2.4188469685693,2.29647334974523,7100.47,, , 
2023,North,1302108,130210,0,Japurá,13,AM,Amazonas,13008, Triângulo,1302,Oeste,100.0,57.6354679802956,101.60307067058,349.966132309776, ,6604.19959358772,225.784601490178,0.889026868367577,2.43282908105667,6987.31,, , 
2023,North,1502152,150215,0,Canaã dos Carajás,15,PA,Pará,15003, Carajás,1509,Macrorregional IV,89.3239403728642,77.7639751552795,70.0579924493053,346.397851554898, ,6760.59627135796,105.086988673958,3.17142152856161,1.82377820158539,6931.38,, , 
2023,Midwest,5204953,520495,0,Campos Verdes,52,GO,Goiás,52013, São Patrício I,5209,Macrorregião Centro-Norte,100.0,57.5,199.750312109863,1223.47066167291, ,7365.79275905119,0.0,1.47940074906367,1.26092384519351,6402.49,, , 
2023,Southeast,3507209,350720,0,Borá,35,SP,São Paulo,35092, Assis,3533,RRAS10,100.0,,110.253583241455,661.521499448732, ,10253.5832414553,0.0,0.882028665931643,4.43770672546858,6350.84,, , 
2023,South,4100459,410045,0,Altamira do Paraná,41,PR,Paraná,41011, 11ª RS Campo Mourão,4106,Macrorregional Noroeste,100.0,95.5555555555556,194.986072423398,1030.64066852368, ,6685.23676880223,529.24791086351,1.1142061281337,3.06406685236769,6196.18,, , 
2023,Southeast,3300258,330025,0,Arraial do Cabo,33,RJ,Rio de Janeiro,33002, Baixada Litorânea,3312,Macrorregião i,89.07248434777,67.948717948718,174.272251984767,877.815787775124, ,8771.70334989996,245.272058348932,3.52094494287743,3.6145355967211,5943.78,, , 
