CD_UF,0201 Collection of material,0209 Diagnosis by endoscopy,0211 Diagnostic methods in specialties,0301 Consultations / Appointments / Follow-ups,0303 Clinical treatments (other specialties),0304 Oncology treatment,0305 Nephrology treatment,"0308 Treatment of injuries, poisoning, and others resulting from external causes",0310 Childbirth and birth,"0401 Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",0402 Endocrine gland surgery,0403 Central and peripheral nervous system surgery,"0404 Surgery of the upper airways, face, head, and neck",0405 Surgery of the visual system,0406 Surgery of the circulatory system,"0407 Surgery of the digestive system, accessory organs, and abdominal wall",0408 Musculoskeletal system surgery,0409 Genitourinary system surgery,0410 Breast surgery,0411 Obstetric surgery,0412 Thoracic surgery,0413 Reconstructive surgery,0414 Oral and maxillofacial surgery,0415 Other surgeries,0416 Oncology surgery,"0501 Collection and examinations for organ, tissue, and cell donation and transplantation",0503 Actions related to organ and tissue donation for transplantation,0504 Processing of tissues for transplantation,"0505 Organ, tissue, and cell transplantation",0506 Pre- and post-transplant follow-up and complications
11 Rondônia,"51875,92","14813,26",0,"341053,90","64545179,76","2948448,98","2983581,30","3783205,82","4053737,26","354410,33","96704,16","3570939,67","3553643,03","84067,37","3512078,11","8717636,24","7074377,83","4733614,19","98288,59","8765091,62","1141694,66","230095,65","17785,99","11066772,08","4111387,18",0,"355853,95",0,"151332,73","16103,64"
12 Acre,"23075,46",0,0,"415162,38","18740078,39","450738,36","808129,70","742116,24","3494307,84","139653,14","85649,25","1750176,20","427244,88","22006,23","5147515,05","6044612,71","4179066,64","1835945,20","37918,11","5967721,68","405268,87","117626,10","12869,88","1298204,64","1095804,31",0,"20758,92",0,"1605676,92","126290,32"
13 Amazonas,"48060,56","109539,29","340,00","487635,14","100550597,79","2453706,18","5091888,27","2980289,28","18345615,49","283218,59","194694,81","4847425,87","3534940,45","1865593,55","16990669,47","18946098,88","11022950,33","6094849,47","254061,29","17781586,66","3291310,01","1734452,91","7902,56","17682052,53","7746585,65",0,"112568,47",0,"1026038,54","25065,86"
14 Roraima,"7559,06","470,59",0,"446618,80","25249508,38","301009,30","1422575,78","561339,54","3014932,48","32613,46","11360,63","835884,91","202201,33","24905,76","69479,03","1648523,40","1956704,90","637245,22","19135,69","3521788,19","368246,41","2610,86","20731,28","4061543,83","931889,12",0,"2023,63",0,0,0
15 Pará,"101717,37","149098,09","12750,00","716826,92","213612538,20","11919152,38","15086921,29","6507621,26","26108918,50","1315472,64","236594,63","9422195,98","6131636,04","6874628,39","35034990,59","41302208,95","23875422,02","19702469,40","539870,48","44170387,78","6338118,45","3233951,08","1046392,80","110212182,87","10629896,61","5400,52","568403,69","309050,04","3434060,06","658232,87"
16 Amapá,"1188,13",0,0,"12483,93","18665751,70","330294,49","440134,82","417920,93","4220878,58","40852,54","29717,02","130158,17","86047,56","397698,83","12255569,69","2253561,88","1544130,48","1496599,96","17314,79","4226475,60","215423,95","138990,99","1008,62","494455,68","131959,31",0,0,0,0,0
17 Tocantins,"15016,24","6511,81",0,"113621,00","40217361,77","1784515,59","2440205,14","2112475,75","5339630,50","289685,42","60273,65","2128495,25","1073580,92","45771,95","10789405,63","9026109,30","6090405,93","5333285,90","107294,29","8513238,14","1074435,22","720796,43","90826,50","10458600,23","4693861,08",0,"77588,23","17588,00","87403,77","135,00"
21 Maranhão,"82763,67","34679,41",0,"662576,10","194152545,92","9306674,98","8597962,03","7325984,14","21199553,35","2206423,18","169759,33","8235418,91","7979099,25","5390886,31","18594174,78","33299063,06","23477025,22","20103978,65","410210,60","35699419,99","3896404,34","1130778,51","50646,17","53379499,06","18793886,19",0,"379630,41",0,"1846304,91","340654,26"
22 Piauí,"82649,16","25612,40","82034,65","483751,29","106467381,26","6035445,87","4166970,10","2033023,59","8851089,07","533417,49","80761,97","4674398,73","2900111,01","753455,58","17645363,79","19540958,31","13980492,80","9260446,72","131477,64","16762339,72","3161278,49","2111755,95","41809,25","40600948,19","4607639,38",0,"547390,23","130345,60","1279431,35","534443,53"
23 Ceará,"78951,69","6099,30","267315,62","6890203,04","294065260,76","12713514,22","15862101,35","12330321,87","18358350,27","1845920,59","397435,51","13008678,49","8393150,36","1644346,52","73983327,73","43406670,05","28179818,78","17007805,83","642052,88","45502397,70","9931877,77","3988763,94","58829,77","98889783,55","16145078,82","457413,27","3453177,80",0,"33241320,51","3471180,37"
