CD_UF,ano,desp_tot_saude_pc_mun,desp_recp_saude_pc_mun
12,2010,205.0,114.0
27,2010,329.0,125.0
13,2010,264.0,164.0
16,2010,234.0,111.0
29,2010,286.0,121.0
23,2010,332.0,137.0
53,2010,,
32,2010,334.0,216.0
52,2010,374.0,181.0
21,2010,329.0,129.0
31,2010,415.0,216.0
50,2010,554.0,286.0
51,2010,427.0,219.0
15,2010,261.0,109.0
25,2010,359.0,136.0
26,2010,265.0,133.0
22,2010,357.0,154.0
41,2010,358.0,205.0
33,2010,405.0,211.0
24,2010,355.0,181.0
11,2010,331.0,186.0
14,2010,339.0,184.0
43,2010,354.0,212.0
42,2010,408.0,235.0
28,2010,337.0,136.0
35,2010,442.0,320.0
17,2010,352.0,193.0
