CD_UF,year,desp_tot_saude_pc_mun,desp_recp_saude_pc_mun
12,2010,205.0,114.0
27,2010,329.0,125.0
13,2010,264.0,164.0
16,2010,234.0,111.0
29,2010,286.0,121.0
23,2010,332.0,137.0
32,2010,334.0,216.0
52,2010,374.0,181.0
21,2010,329.0,129.0
31,2010,415.0,216.0
50,2010,554.0,286.0
51,2010,427.0,219.0
15,2010,261.0,109.0
25,2010,359.0,136.0
26,2010,265.0,133.0
22,2010,357.0,154.0
41,2010,358.0,205.0
33,2010,405.0,211.0
24,2010,355.0,181.0
11,2010,331.0,186.0
14,2010,339.0,184.0
43,2010,354.0,212.0
42,2010,408.0,235.0
28,2010,337.0,136.0
35,2010,442.0,320.0
17,2010,352.0,193.0
12,2011,224.0,118.0
27,2011,388.0,154.0
13,2011,289.0,181.0
16,2011,243.0,113.0
29,2011,334.0,152.0
23,2011,369.0,164.0
32,2011,377.0,254.0
52,2011,436.0,215.0
21,2011,350.0,141.0
31,2011,477.0,251.0
50,2011,592.0,305.0
51,2011,463.0,241.0
15,2011,292.0,122.0
25,2011,417.0,163.0
26,2011,304.0,149.0
22,2011,420.0,180.0
41,2011,418.0,251.0
33,2011,484.0,261.0
24,2011,416.0,208.0
11,2011,372.0,219.0
14,2011,294.0,128.0
43,2011,415.0,252.0
42,2011,454.0,267.0
28,2011,388.0,154.0
35,2011,505.0,368.0
17,2011,372.0,204.0
12,2012,245.0,130.0
27,2012,438.0,170.0
13,2012,322.0,223.0
16,2012,260.0,124.0
29,2012,363.0,167.0
23,2012,417.0,180.0
32,2012,440.0,286.0
52,2012,507.0,244.0
21,2012,385.0,147.0
31,2012,552.0,275.0
50,2012,698.0,348.0
51,2012,518.0,281.0
15,2012,327.0,140.0
25,2012,494.0,184.0
26,2012,346.0,164.0
22,2012,480.0,191.0
41,2012,490.0,290.0
33,2012,567.0,321.0
24,2012,459.0,227.0
11,2012,428.0,235.0
14,2012,304.0,140.0
43,2012,500.0,286.0
42,2012,540.0,312.0
28,2012,448.0,180.0
35,2012,572.0,412.0
17,2012,421.0,220.0
12,2013,272.0,150.0
27,2013,468.0,178.0
13,2013,340.0,227.0
16,2013,241.0,142.0
29,2013,381.0,181.0
23,2013,457.0,206.0
32,2013,450.0,285.0
52,2013,542.0,262.0
21,2013,411.0,170.0
31,2013,613.0,312.0
50,2013,764.0,400.0
51,2013,589.0,319.0
15,2013,361.0,156.0
25,2013,521.0,213.0
26,2013,386.0,189.0
22,2013,559.0,209.0
41,2013,555.0,321.0
33,2013,653.0,353.0
24,2013,491.0,261.0
11,2013,432.0,237.0
14,2013,398.0,202.0
43,2013,550.0,305.0
42,2013,575.0,337.0
28,2013,471.0,192.0
35,2013,633.0,452.0
17,2013,424.0,226.0
12,2014,316.0,162.0
27,2014,550.0,215.0
13,2014,373.0,231.0
16,2014,289.0,181.0
29,2014,439.0,206.0
23,2014,541.0,237.0
32,2014,508.0,321.0
52,2014,612.0,283.0
21,2014,472.0,186.0
31,2014,723.0,351.0
50,2014,862.0,442.0
51,2014,665.0,372.0
15,2014,440.0,182.0
25,2014,579.0,243.0
26,2014,444.0,206.0
22,2014,622.0,249.0
41,2014,626.0,364.0
33,2014,743.0,396.0
24,2014,557.0,288.0
11,2014,490.0,267.0
14,2014,448.0,237.0
43,2014,648.0,338.0
42,2014,673.0,384.0
28,2014,522.0,223.0
35,2014,703.0,494.0
17,2014,490.0,256.0
12,2015,297.0,165.0
27,2015,579.0,221.0
13,2015,374.0,241.0
16,2015,302.0,168.0
29,2015,456.0,221.0
23,2015,562.0,251.0
32,2015,530.0,319.0
52,2015,623.0,302.0
21,2015,461.0,188.0
31,2015,743.0,364.0
50,2015,917.0,478.0
51,2015,720.0,409.0
15,2015,444.0,188.0
25,2015,592.0,255.0
26,2015,446.0,216.0
22,2015,636.0,263.0
41,2015,674.0,408.0
33,2015,747.0,412.0
24,2015,611.0,303.0
11,2015,501.0,280.0
14,2015,462.0,269.0
43,2015,662.0,364.0
42,2015,709.0,414.0
28,2015,576.0,250.0
35,2015,748.0,532.0
17,2015,512.0,263.0
12,2016,345.0,176.0
27,2016,625.0,245.0
13,2016,382.0,248.0
16,2016,317.0,158.0
29,2016,488.0,233.0
23,2016,588.0,262.0
32,2016,528.0,306.0
52,2016,803.0,365.0
21,2016,508.0,222.0
31,2016,763.0,380.0
50,2016,976.0,515.0
51,2016,818.0,473.0
15,2016,443.0,198.0
25,2016,609.0,264.0
26,2016,458.0,227.0
22,2016,715.0,297.0
41,2016,754.0,447.0
33,2016,772.0,448.0
24,2016,635.0,327.0
11,2016,532.0,313.0
14,2016,515.0,261.0
43,2016,718.0,396.0
42,2016,766.0,448.0
28,2016,555.0,247.0
35,2016,802.0,578.0
17,2016,570.0,286.0
12,2017,331.0,175.0
27,2017,643.0,245.0
13,2017,388.0,255.0
16,2017,307.0,142.0
29,2017,501.0,250.0
23,2017,622.0,279.0
32,2017,525.0,317.0
52,2017,678.0,335.0
21,2017,512.0,225.0
31,2017,820.0,417.0
50,2017,1066.0,568.0
51,2017,862.0,502.0
15,2017,460.0,207.0
25,2017,637.0,272.0
26,2017,479.0,245.0
22,2017,737.0,307.0
41,2017,802.0,471.0
33,2017,768.0,438.0
24,2017,653.0,332.0
11,2017,535.0,318.0
14,2017,488.0,267.0
43,2017,756.0,424.0
42,2017,792.0,472.0
28,2017,557.0,256.0
35,2017,827.0,602.0
17,2017,575.0,296.0
12,2018,422.0,210.0
27,2018,723.0,241.0
13,2018,459.0,263.0
16,2018,401.0,135.0
29,2018,566.0,262.0
23,2018,670.0,283.0
32,2018,576.0,334.0
52,2018,698.0,340.0
21,2018,609.0,225.0
31,2018,884.0,437.0
50,2018,1154.0,539.0
